Audience,Year,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory
1,14,1587,1,1,0,0,0,0,0,0,46,2,1
1,17,1912,0,1,1,0,0,0,0,0,35,9,1
1,14,966,1,0,1,0,0,0,0,0,46,5,1
1,15,1064,0,1,1,0,0,0,0,1,43,8,1
1,6,167,0,1,0,0,1,0,0,0,22,0,1
1,12,1072,0,1,1,0,0,0,0,1,23,1,1
1,13,787,0,0,1,0,0,1,0,0,47,2,0
1,15,1519,1,1,0,0,0,0,0,0,25,10,1
1,12,810,1,0,1,0,0,1,0,0,31,0,1
1,5,94,1,1,0,0,0,0,0,0,22,0,0
1,17,1906,1,0,1,0,0,0,0,0,30,3,1
1,18,2235,0,1,1,0,0,0,0,0,32,7,0
1,4,110,1,1,1,0,0,0,0,0,38,0,1
1,16,1788,0,1,1,1,1,0,0,0,31,0,0
1,9,753,0,0,1,0,1,0,0,0,23,1,1
1,13,923,1,0,1,0,0,0,0,0,27,4,0
1,3,83,1,1,0,1,0,0,0,0,38,0,0
1,16,1812,0,1,1,0,0,0,0,1,39,2,1
1,13,1128,0,1,1,0,0,0,0,0,26,2,1
1,13,1190,1,0,1,0,0,0,0,0,25,3,1
1,14,838,0,1,0,0,0,1,0,0,26,5,1
1,14,692,0,0,1,0,0,1,0,0,54,1,1
1,9,580,0,0,1,0,0,0,0,0,46,0,1
1,7,148,0,1,0,0,1,0,0,0,9,0,1
1,8,405,0,0,1,0,0,1,0,0,24,0,1
1,5,114,1,1,1,0,0,0,0,0,22,1,1
1,17,976,0,1,1,0,0,1,0,0,28,5,1
1,15,1009,0,0,1,0,1,0,0,0,34,4,1
1,16,1444,1,1,0,0,0,0,0,0,23,4,0
1,11,615,1,1,0,0,0,0,0,0,43,1,1
1,11,472,0,0,1,0,0,1,0,0,24,0,1
1,7,116,1,1,1,0,0,0,0,0,22,2,1
1,17,1299,1,0,1,0,0,0,0,0,28,13,1
1,13,894,0,1,0,0,0,0,0,0,31,1,1
1,16,1501,0,1,1,0,0,0,0,1,30,8,1
1,16,1105,0,0,1,0,1,0,0,0,39,12,1
1,15,1075,0,0,1,0,0,0,0,1,23,1,1
1,16,1049,1,1,0,0,1,0,0,0,31,2,1
1,16,1158,0,1,0,0,0,1,0,0,30,2,1
1,13,1341,0,1,1,0,0,0,0,0,22,0,1
