지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 전운량(1/10)
108,2017-10-01,18.2,15.5,21.2,4,8.9
108,2017-10-02,22,15.6,29.4,1.5,2.6
108,2017-10-03,17.6,13.4,23.6,,5.8
108,2017-10-04,16.7,10.7,24.3,,6.6
108,2017-10-05,18.7,13.9,23.4,,8
108,2017-10-06,18.9,16.2,23.3,.5,8.5
108,2017-10-07,21.9,16.9,28.8,0,7.5
108,2017-10-08,23,19.3,28.7,,4.8
108,2017-10-09,22.5,19.8,27.6,0,6.5
108,2017-10-10,21.4,18.6,24.8,.4,9.3
108,2017-10-11,15.5,12.2,21.7,20,9.3
108,2017-10-12,11.4,8.8,,,7.1
108,2017-10-13,12.8,6.1,18.9,,3.4
108,2017-10-14,14.4,9,20.5,,4.9
108,2017-10-15,15.8,9,23,,5.4
108,2017-10-16,16.6,13.6,22,,7.9
108,2017-10-17,16.2,9.2,23.9,,.4
108,2017-10-18,16.5,14.2,19.1,.1,9.3
108,2017-10-19,17,11.9,23.2,,3.8
108,2017-10-20,17,11.1,24.2,,.1
108,2017-10-21,17.6,11,25.2,,0
108,2017-10-22,16.3,11,23.5,,1.8
108,2017-10-23,13.7,8.6,20.6,,0
108,2017-10-24,14.4,9.9,20.9,,3
108,2017-10-25,14.4,9.5,20.6,,2.9
108,2017-10-26,14.5,10.7,18.1,,8.6
108,2017-10-27,16.9,11.9,24.2,,1.9
108,2017-10-28,17.2,10.6,24.8,,.1
108,2017-10-29,11.5,6.3,17.2,,0
108,2017-10-30,7.7,2.5,13.2,,0
108,2017-10-31,10.4,3.6,16,,1.8
