일자,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 전운량(1/10)
20171201,2017-12-01,-2.2,-7.6,3.1,0,2.3
20171202,2017-12-02,1.9,-4.6,8.1,,3.8
20171203,2017-12-03,4.9,3.1,8.1,4,9
20171204,2017-12-04,-1.2,-6.1,4.5,0.1,1.4
20171205,2017-12-05,-4.2,-8.2,-0.4,0.1,1.6
20171206,2017-12-06,0.2,-4.5,6,1.2,7
20171207,2017-12-07,0.7,-3.5,4.6,,3.5
20171208,2017-12-08,-3.8,-7.1,-0.5,,2.1
20171209,2017-12-09,-0.5,-5.6,5.4,,2.8
20171210,2017-12-10,1.1,-2.5,6.7,4.1,7
20171211,2017-12-11,-7,-11,-2.5,,0.3
20171212,2017-12-12,-9.4,-12.3,-5.2,,0
20171213,2017-12-13,-8.7,-12,-4.4,,0
20171214,2017-12-14,-6.6,-11.2,-1.9,,5.9
20171215,2017-12-15,-3,-7.5,0.9,0,7.3
20171216,2017-12-16,-5.7,-8.1,-2.6,,0
20171217,2017-12-17,-6.7,-10.8,-2.3,,1.1
20171218,2017-12-18,-1.6,-5.9,3.3,3.4,6.8
20171219,2017-12-19,-3.9,-6.5,-1,,1
20171220,2017-12-20,-3.9,-8.5,-0.1,0.2,7.1
20171221,2017-12-21,-0.9,-5.6,4.6,,0.4
20171222,2017-12-22,3.4,-1.9,6.6,,8.4
20171223,2017-12-23,6.1,5,8.7,,8
20171224,2017-12-24,2.9,-0.6,5.7,20,6.6
20171225,2017-12-25,-2.1,-4.9,0.6,,2.1
20171226,2017-12-26,-3.8,-7.9,-1.1,,0.3
20171227,2017-12-27,-6.9,-10.3,-2.6,,0
20171228,2017-12-28,-2.1,-6.8,0.8,0,8.5
20171229,2017-12-29,2.1,-0.4,6,0,4.6
20171230,2017-12-30,1.4,-1.2,4.5,0.7,9.3
20171231,2017-12-31,-0.3,-3.2,3.3,1,1.9
