지점,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%)
108,2017-07-01 00:00,24.1,1.3,270,72
108,2017-07-01 01:00,23.7,1.4,270,75
108,2017-07-01 02:00,23.3,1.2,290,78
108,2017-07-01 03:00,23,1.8,290,80
108,2017-07-01 04:00,22.8,1.7,290,83
108,2017-07-01 05:00,22.7,1.6,290,84
108,2017-07-01 06:00,22.4,1.7,270,85
108,2017-07-01 07:00,22.5,1.3,270,84
108,2017-07-01 08:00,23,2,290,81
108,2017-07-01 09:00,24,2,270,74
108,2017-07-01 10:00,24.4,1.6,250,72
108,2017-07-01 11:00,25.4,.9,320,66
108,2017-07-01 12:00,27.2,1.2,180,61
108,2017-07-01 13:00,28.2,2.2,180,58
108,2017-07-01 14:00,29.6,2.6,230,50
108,2017-07-01 15:00,30.4,2.9,250,48
108,2017-07-01 16:00,29.7,2.8,180,51
108,2017-07-01 17:00,28.6,3.8,200,57
108,2017-07-01 18:00,26.9,4.1,200,66
108,2017-07-01 19:00,25.5,2.5,230,77
108,2017-07-01 20:00,23.9,1.8,250,90
108,2017-07-01 21:00,24,.3,0,90
108,2017-07-01 22:00,24.2,.4,0,89
108,2017-07-01 23:00,24.5,2.4,200,86
108,2017-07-02 00:00,24.5,2.8,230,85
108,2017-07-02 01:00,24.2,1.9,270,89
108,2017-07-02 02:00,24,2,270,90
108,2017-07-02 03:00,23.9,3.4,230,92
108,2017-07-02 04:00,24,3,230,91
108,2017-07-02 05:00,23.8,2.1,230,93
108,2017-07-02 06:00,23.9,1.2,230,92
108,2017-07-02 07:00,24.2,1.4,180,92
108,2017-07-02 08:00,24.5,1.3,200,90
108,2017-07-02 09:00,24.1,2,290,92
108,2017-07-02 10:00,24.9,.7,230,91
108,2017-07-02 11:00,25.8,2.5,230,87
108,2017-07-02 12:00,26.4,2.9,230,84
108,2017-07-02 13:00,26.6,2.9,230,83
108,2017-07-02 14:00,26.6,3.9,230,82
108,2017-07-02 15:00,26,4.3,200,86
108,2017-07-02 16:00,25.9,2.5,230,83
108,2017-07-02 17:00,26.2,3.2,230,82
108,2017-07-02 18:00,25.7,2.8,230,87
108,2017-07-02 19:00,25.2,3.5,200,88
108,2017-07-02 20:00,25.2,2.6,200,87
108,2017-07-02 21:00,22.5,3,250,92
108,2017-07-02 22:00,22.5,2.1,270,91
108,2017-07-02 23:00,22.5,3.3,250,98
108,2017-07-03 00:00,22,3.3,270,99
108,2017-07-03 01:00,22,2.6,270,100
108,2017-07-03 02:00,22.1,2.3,270,100
108,2017-07-03 03:00,23.9,5,230,99
108,2017-07-03 04:00,23.9,6,200,90
108,2017-07-03 05:00,23.6,5.6,230,94
108,2017-07-03 06:00,23.4,4,230,98
108,2017-07-03 07:00,23.4,3.4,250,95
