지점,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%)
108,2017-09-01 00:00,20.4,2,70,61
108,2017-09-01 01:00,19.8,2.6,70,67
108,2017-09-01 02:00,19.4,1.8,70,68
108,2017-09-01 03:00,18.7,2.5,50,73
108,2017-09-01 04:00,18.3,2.5,50,70
108,2017-09-01 05:00,17.9,1,70,70
108,2017-09-01 06:00,17.3,1.4,50,78
108,2017-09-01 07:00,17.4,2.3,70,75
108,2017-09-01 08:00,19.8,1.6,70,61
108,2017-09-01 09:00,22,3,70,52
108,2017-09-01 10:00,24,2.9,90,46
108,2017-09-01 11:00,25.7,2.6,50,40
108,2017-09-01 12:00,27.2,1.9,70,36
108,2017-09-01 13:00,27.2,2.1,320,38
108,2017-09-01 14:00,28.8,1.7,160,35
108,2017-09-01 15:00,28.8,2,320,38
108,2017-09-01 16:00,29.4,1.2,270,36
108,2017-09-01 17:00,29,2.4,290,40
108,2017-09-01 18:00,27.5,3,320,40
108,2017-09-01 19:00,25.5,3.3,340,52
108,2017-09-01 20:00,24.3,3.9,340,55
108,2017-09-01 21:00,23.4,1.8,290,61
108,2017-09-01 22:00,22.5,1.5,270,66
108,2017-09-01 23:00,21.8,.3,0,67
108,2017-09-02 00:00,21.3,.7,290,70
108,2017-09-02 01:00,20.7,.1,0,72
108,2017-09-02 02:00,20.1,1.4,50,72
108,2017-09-02 03:00,19.5,1.5,50,75
108,2017-09-02 04:00,19.1,1.8,50,75
108,2017-09-02 05:00,18.8,1.9,50,76
108,2017-09-02 06:00,18.7,2.3,70,74
108,2017-09-02 07:00,19,2.3,70,71
108,2017-09-02 08:00,20.7,1.4,70,62
108,2017-09-02 09:00,22.8,2.5,70,57
108,2017-09-02 10:00,24.8,2.7,50,50
108,2017-09-02 11:00,26.1,2.4,50,41
108,2017-09-02 12:00,27.1,2.9,50,41
108,2017-09-02 13:00,28.2,1.7,90,38
108,2017-09-02 14:00,29.2,2.4,180,35
108,2017-09-02 15:00,28.8,2.2,20,37
108,2017-09-02 16:00,28,1.3,340,42
108,2017-09-02 17:00,27.9,.2,0,39
108,2017-09-02 18:00,27.6,3.5,270,54
108,2017-09-02 19:00,25.2,3.1,270,61
108,2017-09-02 20:00,24.3,1.9,270,64
108,2017-09-02 21:00,23.7,1.4,270,67
108,2017-09-02 22:00,23.1,1.1,320,68
108,2017-09-02 23:00,22.6,2.1,320,64
108,2017-09-03 00:00,22.3,.6,320,67
108,2017-09-03 01:00,21.6,.8,20,70
108,2017-09-03 02:00,21.1,.9,50,74
108,2017-09-03 03:00,20.5,.8,20,79
108,2017-09-03 04:00,20,1.7,70,79
108,2017-09-03 05:00,19.5,2,50,76
108,2017-09-03 06:00,19.1,2.4,50,78
108,2017-09-03 07:00,19.1,2.1,50,74
108,2017-09-03 08:00,20.9,1.9,70,64
108,2017-09-03 09:00,23,2.2,50,61
108,2017-09-03 10:00,25,2.2,90,56
108,2017-09-03 11:00,26.5,1.5,110,53
108,2017-09-03 12:00,27,1.4,20,50
108,2017-09-03 13:00,27.7,1.8,270,45
108,2017-09-03 14:00,27.4,1,360,47
108,2017-09-03 15:00,27,1.7,340,49
108,2017-09-03 16:00,28.9,2.3,340,44
108,2017-09-03 17:00,28.1,2.8,270,48
108,2017-09-03 18:00,26.6,2.8,270,59
108,2017-09-03 19:00,25.5,2.2,290,62
108,2017-09-03 20:00,24.5,1.9,290,68
108,2017-09-03 21:00,23.9,1.5,250,64
108,2017-09-03 22:00,23.4,.5,360,71
108,2017-09-03 23:00,22.9,.5,20,70
108,2017-09-04 00:00,22.3,.1,0,72
108,2017-09-04 01:00,21.6,.7,20,74
108,2017-09-04 02:00,21,1.2,50,74
108,2017-09-04 03:00,20.6,.8,50,77
108,2017-09-04 04:00,20,1.2,50,80
108,2017-09-04 05:00,19.9,2.2,50,77
108,2017-09-04 06:00,19.7,2.1,70,75
108,2017-09-04 07:00,19.9,1.9,50,74
108,2017-09-04 08:00,20.9,2,70,64
108,2017-09-04 09:00,23.7,1.7,70,55
108,2017-09-04 10:00,25.4,2.2,50,50
108,2017-09-04 11:00,27.7,2.5,90,40
108,2017-09-04 12:00,28.3,1.2,140,41
108,2017-09-04 13:00,29.3,2.2,110,36
108,2017-09-04 14:00,29.8,2.1,140,35
108,2017-09-04 15:00,30.1,2.6,180,32
108,2017-09-04 16:00,29,1.5,180,31
108,2017-09-04 17:00,28.1,3,180,31
108,2017-09-04 18:00,27.3,2.2,200,31
108,2017-09-04 19:00,26,1.5,290,46
108,2017-09-04 20:00,25.1,1.4,290,59
108,2017-09-04 21:00,24.5,.5,250,58
108,2017-09-04 22:00,23.8,.7,20,60
108,2017-09-04 23:00,23.3,.9,20,53
108,2017-09-05 00:00,22.6,1.7,70,61
108,2017-09-05 01:00,21.9,1.6,50,65
108,2017-09-05 02:00,21.3,1.7,50,69
108,2017-09-05 03:00,20.9,1.7,70,64
108,2017-09-05 04:00,20.7,1.7,70,63
108,2017-09-05 05:00,20.6,1.4,70,64
108,2017-09-05 06:00,20.5,1.9,90,60
108,2017-09-05 07:00,20.5,.9,50,63
108,2017-09-05 08:00,20.6,2.7,50,64
108,2017-09-05 09:00,21.2,2.8,70,62
108,2017-09-05 10:00,22.2,2,50,59
108,2017-09-05 11:00,22.9,2.1,20,59
108,2017-09-05 12:00,23.4,2.4,50,60
108,2017-09-05 13:00,23.6,2.6,50,57
108,2017-09-05 14:00,23.7,2.2,50,58
108,2017-09-05 15:00,23.5,2.5,50,56
108,2017-09-05 16:00,23.4,2.4,110,54
108,2017-09-05 17:00,23.2,1.8,140,59
108,2017-09-05 18:00,23,3.2,160,62
108,2017-09-05 19:00,22.8,.9,70,63
108,2017-09-05 20:00,22.5,.6,20,67
