Ranking,Name,Date,Year,Sales,Audiencebox,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,콜라보,스태프수,동시개봉,제작사
1,명량,2014-07-30,14,1.36E+11,4.09E+00,17613682,1587,1,1,0,0,0,0,0,0,46,2,1,,,,
2,신과함께-죄와 벌,2017-12-20,17,1.16E+11,4.09E+00,14410931,1912,0,1,1,0,0,0,0,0,35,9,1,,,,
3,국제시장,2014-12-17,14,1.11E+11,4.09E+00,14257115,966,1,0,1,0,0,0,0,0,46,5,1,,,,
4,베테랑,2015-08-05,15,1.05E+11,4.09E+00,13414009,1064,0,1,1,0,0,0,0,1,43,8,1,,,,
5,괴물,2006-07-27,6,66716119300,4.08E+00,13019740,167,0,1,0,0,1,0,0,0,22,0,1,,,,
6,도둑들,2012-07-25,12,93665568500,4.08E+00,12983330,1072,0,1,1,0,0,0,0,1,23,1,1,,,,
7,7번방의 선물,2013-01-23,13,91431914670,4.08E+00,12811206,787,0,0,1,0,0,1,0,0,47,2,0,,,,
8,암살,2015-07-22,15,98463132781,4.08E+00,12705700,1519,1,1,0,0,0,0,0,0,25,10,1,,,,
9,"광해, 왕이 된 남자",2012-09-13,12,88900208769,4.08E+00,12319542,810,1,0,1,0,0,1,0,0,31,0,1,,,,
10,왕의 남자,2005-12-29,5,95875172649,4.08E+00,12302831,94,1,1,0,0,0,0,0,0,22,0,0,,,,
11,택시운전사,2017-08-02,17,95855737149,4.08E+00,12186684,1906,1,0,1,0,0,0,0,0,30,3,1,,,,
12,신과함께-인과 연,2018-08-01,18,1.01E+11,4.08E+00,12041474,2235,0,1,1,0,0,0,0,0,32,7,0,,,,
13,태극기 휘날리며,2004-02-05,4,89271929492,4.08E+00,11746135,110,1,1,1,0,0,0,0,0,38,0,1,,,,
14,부산행,2016-07-20,16,93178283048,4.08E+00,11565479,1788,0,1,1,1,1,0,0,0,31,0,0,,,,
15,해운대,2009-07-22,9,81934638201,4.08E+00,11453338,753,0,0,1,0,1,0,0,0,23,1,1,,,,
16,변호인,2013-12-18,13,82871759300,4.08E+00,11374610,923,1,0,1,0,0,0,0,0,27,4,0,,,,
17,실미도,2003-12-24,3,70384835125,4.08E+00,11081000,83,1,1,0,1,0,0,0,0,38,0,0,,,,
18,검사외전,2016-02-03,16,77319445264,4.08E+00,9707158,1812,0,1,1,0,0,0,0,1,39,2,1,,,,
19,설국열차,2013-08-01,13,67010077500,4.08E+00,9349991,1128,0,1,1,0,0,0,0,0,26,2,1,,,,
20,관상,2013-09-11,13,66005451500,4.08E+00,9134586,1190,1,0,1,0,0,0,0,0,25,3,1,,,,
21,해적: 바다로 간 산적,2014-08-06,14,66370682706,4.08E+00,8666046,838,0,1,0,0,0,1,0,0,26,5,1,,,,
22,수상한 그녀,2014-01-22,14,62696639249,4.08E+00,8656397,692,0,0,1,0,0,1,0,0,54,1,1,,,,
23,국가대표,2009-07-29,9,60896633308,4.08E+00,8487894,580,0,0,1,0,0,0,0,0,46,0,1,,,,
24,디워,2007-08-01,7,49340084700,4.08E+00,8426973,148,0,1,0,0,1,0,0,0,9,0,1,,,,
25,과속스캔들,2008-12-03,8,53940101534,4.08E+00,8245523,405,0,0,1,0,0,1,0,0,24,0,1,,,,
26,웰컴 투 동막골,2005-08-04,5,50329355500,4.07E+00,8008622,114,1,1,1,0,0,0,0,0,22,1,1,,,,
27,공조,2017-01-18,17,63781731326,4.07E+00,7817446,976,0,1,1,0,0,1,0,0,28,5,1,,,,
28,히말라야,2015-12-16,15,60173583015,4.07E+00,7759473,1009,0,0,1,0,1,0,0,0,34,4,1,,,,
29,밀정,2016-09-07,16,61269783831,4.07E+00,7500420,1444,1,1,0,0,0,0,0,0,23,4,0,,,,
30,최종병기 활,2011-08-10,11,55827861500,4.07E+00,7470633,615,1,1,0,0,0,0,0,0,43,1,1,,,,
31,써니,2011-05-04,11,54034235100,4.07E+00,7362467,472,0,0,1,0,0,1,0,0,24,0,1,,,,
