Ranking,Name,Date,Year,Quart,Sales,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,Y0,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18
1,명량,2014-07-30,14,3qr,1.36E+11,17613682,1587,1,1,0,0,0,0,0,0,46,2,1,0,0,0,0,0,0,0,1,0,0,0,0
2,신과함께-죄와 벌,2017-12-20,17,4qr,1.16E+11,14410931,1912,0,1,1,0,0,0,0,0,35,9,1,0,0,0,0,0,0,0,0,0,0,1,0
3,국제시장,2014-12-17,14,4qr,1.11E+11,14257115,966,1,0,1,0,0,0,0,0,46,5,1,0,0,0,0,0,0,0,1,0,0,0,0
4,베테랑,2015-08-05,15,3qr,1.05E+11,13414009,1064,0,1,1,0,0,0,0,1,43,8,1,0,0,0,0,0,0,0,0,1,0,0,0
5,괴물,2006-07-27,6,3qr,66716119300,13019740,167,0,1,0,0,1,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,도둑들,2012-07-25,12,3qr,93665568500,12983330,1072,0,1,1,0,0,0,0,1,23,1,1,0,0,0,0,0,1,0,0,0,0,0,0
7,7번방의 선물,2013-01-23,13,1qr,91431914670,12811206,787,0,0,1,0,0,1,0,0,47,2,0,0,0,0,0,0,0,1,0,0,0,0,0
8,암살,2015-07-22,15,3qr,98463132781,12705700,1519,1,1,0,0,0,0,0,0,25,10,1,0,0,0,0,0,0,0,0,1,0,0,0
9,"광해, 왕이 된 남자",2012-09-13,12,3qr,88900208769,12319542,810,1,0,1,0,0,1,0,0,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,왕의 남자,2005-12-29,5,4qr,95875172649,12302831,94,1,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,택시운전사,2017-08-02,17,3qr,95855737149,12186684,1906,1,0,1,0,0,0,0,0,30,3,1,0,0,0,0,0,0,0,0,0,0,1,0
12,신과함께-인과 연,2018-08-01,18,3qr,1.01E+11,12041474,2235,0,1,1,0,0,0,0,0,32,7,0,0,0,0,0,0,0,0,0,0,0,0,1
